County,County_FIPS,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages
DALE CO.,45,314,20,0,0,0,34,2039750,8946000,,,,,,,,,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,1125000.0,6.0,42.0,0.0,0.0,0.0,0.0,228000.0,0.0
DALLAS CO.,47,85,22,0,0,0,5,500500,959500,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7000.0,840000.0,1.0,60.0,0.0,0.0,0.0,0.0,15000.0,260000.0
DEKALB CO.,49,414,45,0,32,11,45,2066400,9278000,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,23.0,139.0,0.0,0.0,0.0,0.0,0.0,285000.0
ELMORE CO.,51,209,37,0,6,3,24,1085000,51848900,,,,,,,,,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,235000.0,3.0,73.0,0.0,0.0,0.0,0.0,5000.0,611000.0
ESCAMBIA CO.,53,125,13,0,0,13,20,2180000,7441000,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,767000.0,51000.0
ETOWAH CO.,55,217,17,0,0,35,22,1345500,20934000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,47000.0,8.0,84.0,0.0,0.0,0.0,0.0,0.0,100000.0
FAYETTE CO.,57,104,37,1,4,3,8,709000,13399000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1000.0
FRANKLIN CO.,59,195,12,0,27,1,1,1100200,50610000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,82.0,0.0,0.0,0.0,0.0,0.0,62000.0
GENEVA CO.,61,209,19,0,1,2,9,2017500,3318000,,,,,,,,,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,1710860.0,12.0,21.0,0.0,0.0,0.0,0.0,3001000.0,0.0
GREENE CO.,63,52,24,0,0,1,2,323500,8504800,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1965000.0,4.0,33.0,0.0,0.0,0.0,0.0,23000.0,131000.0
HALE CO.,65,74,39,0,7,0,56,417000,21130500,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1000.0,2175000.0,6.0,54.0,0.0,0.0,0.0,0.0,3000.0,314000.0
HENRY CO.,67,176,27,0,2,1,32,650250,21832000,,,,,,,,,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,905590.0,2.0,19.0,0.0,0.0,0.0,0.0,301000.0,0.0
HOUSTON CO.,69,355,26,5,0,6,5,4654800,2412000,,,,,,,,,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3590000.0,0.0,580000.0,12.0,47.0,0.0,0.0,0.0,0.0,2474460.0,0.0
JACKSON CO.,71,368,37,0,12,5,15,1486100,6398000,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,28.0,90.0,0.0,0.0,0.0,0.0,10000.0,120000.0
JEFFERSON CO.,73,393,52,3,24,15,840,2808600,737010000,,,,,,,,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,6400000.0,12.0,263.0,0.0,0.0,0.0,0.0,20000.0,1326000.0
LAMAR CO.,75,177,26,0,2,1,3,1112000,1567000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1860000.0,5.0,83.0,0.0,0.0,0.0,0.0,0.0,162000.0
LAUDERDALE CO.,77,953,25,1,0,2,5,10942500,4890000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,49.0,148.0,0.0,0.0,0.0,0.0,1018000.0,6500.0
LAWRENCE CO.,79,232,29,0,20,3,25,3451100,40818000,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,104.0,0.0,0.0,0.0,0.0,0.0,75000.0
LEE CO.,81,116,33,0,23,1,109,439000,5614000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,55000.0,2.0,85.0,0.0,0.0,0.0,0.0,1750000.0,295000.0
LIMESTONE CO.,83,336,54,0,6,0,78,4290500,1001723000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,133.0,0.0,0.0,0.0,0.0,0.0,13000.0
LOWNDES CO.,85,57,12,0,0,4,15,255500,541000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,360000.0,2.0,38.0,0.0,0.0,0.0,0.0,15000.0,83000.0
MACON CO.,87,53,21,0,0,0,2,246500,836000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,90000.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,181000.0
MADISON CO.,89,740,50,2,10,19,8,15055900,1822000,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,346.0,1.0,0.0,0.0,0.0,10000.0,270000.0
MARENGO CO.,91,65,40,0,2,4,13,300500,26134000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,3300000.0,6.0,58.0,0.0,0.0,0.0,0.0,5000.0,114000.0
MARION CO.,93,175,28,0,25,3,201,1284250,177342500,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060000.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,51000.0
MARSHALL CO.,95,368,43,2,6,3,97,1667000,16066000,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,22.0,144.0,0.0,0.0,0.0,1.0,465000.0,96000.0
MOBILE CO.,97,251,56,0,0,9,10,5664000,4184000,16.0,19.0,0.0,0.0,0.0,0.0,50000.0,15500000.0,11.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3696060000.0,0.0,5960000.0,8.0,120.0,0.0,0.0,0.0,0.0,20000.0,51000.0
MONROE CO.,99,90,12,0,0,1,0,987000,1983000,,,,,,,,,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,0.0,0.0,0.0,300000.0,0.0
MONTGOMERY CO.,101,110,33,0,2,1,16,1137500,3163000,,,,,,,,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13000.0,375000.0,6.0,59.0,0.0,0.0,0.0,0.0,7000.0,257000.0
MORGAN CO.,103,370,29,1,1,3,0,3870800,1017000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,121.0,0.0,0.0,0.0,0.0,1100000.0,154000.0
PERRY CO.,105,41,31,0,0,0,0,373000,2240000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1240000.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,416000.0
PICKENS CO.,107,89,32,0,3,1,23,621000,10609000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,565000.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,26000.0
PIKE CO.,109,69,30,0,0,1,9,226250,763000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,68000.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,121000.0
RANDOLPH CO.,111,109,12,0,0,1,0,2004000,353000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,62000.0,5.0,69.0,0.0,0.0,1.0,0.0,301000.0,77000.0
RUSSELL CO.,113,72,18,0,0,0,7,231250,809000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,63000.0,1.0,61.0,0.0,0.0,0.0,0.0,200000.0,255000.0
SHELBY CO.,117,258,32,0,0,0,8,1382000,5041750,,,,,,,,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,3200000.0,6.0,140.0,0.0,0.0,0.0,0.0,510000.0,793000.0
ST. CLAIR CO.,115,176,26,2,13,1,39,1019000,202578000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,142000.0,3.0,85.0,0.0,0.0,0.0,0.0,0.0,65000.0
SUMTER CO.,119,110,20,0,0,1,4,328000,14350000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,4210000.0,7.0,71.0,0.0,0.0,0.0,0.0,150000.0,27000.0
TALLADEGA CO.,121,180,16,0,0,2,15,1161000,2548000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,175000.0,8.0,118.0,0.0,0.0,0.0,0.0,530000.0,166000.0
TALLAPOOSA CO.,123,151,26,0,2,2,12,936000,115375800,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7000.0,255000.0,3.0,73.0,0.0,0.0,0.0,0.0,0.0,85000.0
TUSCALOOSA CO.,125,242,61,3,55,4,964,3098000,1536033000,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2000.0,5700000.0,10.0,165.0,0.0,0.0,0.0,0.0,0.0,590000.0
WALKER CO.,127,218,33,1,19,8,127,1019500,136578000,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,855000.0,2.0,131.0,0.0,0.0,0.0,0.0,0.0,1697000.0
WASHINGTON CO.,129,93,20,0,3,6,4,2246000,5854000,,,,,,,,,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1410000.0
WILCOX CO.,131,43,9,0,1,0,2,390000,2010000,,,,,,,,,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3000.0
WINSTON CO.,133,150,28,0,1,3,59,1392500,13086500,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060000.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,114000.0
